copies,from,trend,30days,7days,day,date
169.0,7.92,7.99,7.99,7.99,7.99,20/01/2023 17:37:14
169.0,7.92,7.99,7.99,7.99,7.99,20/01/2023 18:51:48
,,,,,,
169.0,7.92,7.99,7.99,7.99,7.99,20/01/2023 19:06:42
169.0,7.92,7.99,7.99,7.99,7.99,20/01/2023 19:08:56
169.0,7.92,7.99,7.99,7.99,7.99,20/01/2023 20:24:44
169.0,7.92,7.99,7.99,7.99,7.99,20/01/2023 21:22:20
169.0,7.92,7.99,7.99,7.99,7.99,20/01/2023 21:57:02
156.0,7.44,8.65,8.24,8.24,8.65,21/01/2023 16:10:01
155.0,6.97,7.27,7.64,7.64,7.18,23/01/2023 11:06:24
155.0,6.74,7.27,7.64,7.64,7.18,23/01/2023 15:32:40
239.0,6.74,7.27,7.64,7.64,7.18,23/01/2023 17:18:35
239.0,6.96,7.27,7.64,7.64,7.18,23/01/2023 18:53:13
277.0,6.65,7.35,7.59,7.59,7.64,25/01/2023 17:08:20
