copies,from,trend,30days,7days,day,date
166.0,2.43,3.1,3.1,3.1,3.1,20/01/2023 17:37:23
,,,,,,
166.0,2.43,3.1,3.1,3.1,3.1,20/01/2023 19:06:50
166.0,2.43,3.1,3.1,3.1,3.1,20/01/2023 19:09:04
166.0,2.43,3.1,3.1,3.1,3.1,20/01/2023 20:24:53
166.0,2.43,3.1,3.1,3.1,3.1,20/01/2023 21:22:28
166.0,2.43,3.1,3.1,3.1,3.1,20/01/2023 21:57:10
153.0,2.39,2.5,2.87,2.87,2.5,21/01/2023 16:10:15
149.0,2.39,2.39,2.62,2.62,2.55,23/01/2023 11:06:32
149.0,2.4,2.39,2.62,2.62,2.55,23/01/2023 15:32:49
242.0,2.59,2.39,2.62,2.62,2.55,23/01/2023 17:18:43
242.0,2.69,2.39,2.62,2.62,2.55,23/01/2023 18:53:21
255.0,2.64,2.66,2.72,2.72,2.85,25/01/2023 17:08:28
255.0,2.64,2.66,2.72,2.72,2.85,25/01/2023 20:33:29
255.0,2.64,2.66,2.72,2.72,2.85,25/01/2023 20:35:41
255.0,2.64,2.66,2.72,2.72,2.85,25/01/2023 20:38:09
255.0,2.64,2.66,2.72,2.72,2.85,25/01/2023 20:45:38
