copies,from,trend,30days,7days,day,date
172.0,4.89,5.16,5.16,5.16,5.16,20/01/2023 17:37:26
,,,,,,
172.0,4.89,5.16,5.16,5.16,5.16,20/01/2023 19:06:53
172.0,4.89,5.16,5.16,5.16,5.16,20/01/2023 19:09:07
172.0,4.89,5.16,5.16,5.16,5.16,20/01/2023 20:24:55
172.0,4.89,5.16,5.16,5.16,5.16,20/01/2023 21:22:31
172.0,4.89,5.16,5.16,5.16,5.16,20/01/2023 21:57:13
160.0,4.44,4.94,5.08,5.08,4.94,21/01/2023 16:10:18
159.0,3.97,4.03,4.58,4.58,3.99,23/01/2023 11:06:35
159.0,3.89,4.03,4.58,4.58,3.99,23/01/2023 15:32:51
273.0,3.89,4.03,4.58,4.58,3.99,23/01/2023 17:18:46
273.0,3.96,4.03,4.58,4.58,3.99,23/01/2023 18:53:24
294.0,3.8,3.98,4.33,4.33,4.14,25/01/2023 17:08:31
294.0,3.79,3.98,4.33,4.33,4.14,25/01/2023 20:33:32
294.0,3.79,3.98,4.33,4.33,4.14,25/01/2023 20:35:44
294.0,3.79,3.98,4.33,4.33,4.14,25/01/2023 20:38:12
294.0,3.79,3.98,4.33,4.33,4.14,25/01/2023 20:45:41
