copies,from,trend,30days,7days,day,date
183.0,2.74,2.21,2.2,2.2,2.21,20/01/2023 17:37:29
,,,,,,
183.0,2.74,2.21,2.2,2.2,2.21,20/01/2023 19:06:56
183.0,2.74,2.21,2.2,2.2,2.21,20/01/2023 19:09:10
183.0,2.74,2.21,2.2,2.2,2.21,20/01/2023 20:24:58
183.0,2.74,2.21,2.2,2.2,2.21,20/01/2023 21:22:34
183.0,2.74,2.21,2.2,2.2,2.21,20/01/2023 21:57:15
249.0,2.69,2.77,2.56,2.56,2.84,21/01/2023 16:10:21
205.0,2.69,2.96,2.51,2.51,3.12,23/01/2023 11:06:38
205.0,2.69,2.96,2.51,2.51,3.12,23/01/2023 15:32:54
510.0,2.69,2.96,2.51,2.51,3.12,23/01/2023 17:18:48
510.0,2.69,2.96,2.51,2.51,3.12,23/01/2023 18:53:27
519.0,2.84,3.28,2.68,2.68,3.27,25/01/2023 17:08:34
