copies,from,trend,30days,7days,day,date
0.0,0.49,0.0,0.0,0.0,0.0,20/01/2023 18:57:31
0.0,0.49,0.0,0.0,0.0,0.0,20/01/2023 19:01:04
,,,,,,
0.0,0.49,0.0,0.0,0.0,0.0,20/01/2023 19:05:54
0.0,0.49,0.0,0.0,0.0,0.0,20/01/2023 19:06:39
0.0,0.49,0.0,0.0,0.0,0.0,20/01/2023 19:08:53
0.0,0.44,0.0,0.0,0.0,0.0,20/01/2023 20:24:42
0.0,0.44,0.0,0.0,0.0,0.0,20/01/2023 21:22:17
0.0,0.44,0.0,0.0,0.0,0.0,20/01/2023 21:56:59
106.0,0.43,0.0,0.0,0.0,0.0,21/01/2023 16:09:58
170.0,0.24,0.38,0.46,0.46,0.38,23/01/2023 11:06:22
170.0,0.24,0.38,0.46,0.46,0.38,23/01/2023 15:32:38
530.0,0.24,0.38,0.46,0.46,0.38,23/01/2023 17:18:32
530.0,0.23,0.38,0.46,0.46,0.38,23/01/2023 18:53:10
575.0,0.2,0.2,0.35,0.35,0.24,25/01/2023 17:08:17
575.0,0.2,0.2,0.35,0.35,0.24,25/01/2023 20:33:18
575.0,0.2,0.2,0.35,0.35,0.24,25/01/2023 20:35:29
575.0,0.2,0.2,0.35,0.35,0.24,25/01/2023 20:37:58
575.0,0.2,0.2,0.35,0.35,0.24,25/01/2023 20:45:27
575.0,0.2,0.22,0.34,0.34,0.32,26/01/2023 11:14:56
575.0,0.2,0.22,0.34,0.34,0.32,26/01/2023 11:16:21
575.0,0.2,0.22,0.34,0.34,0.32,26/01/2023 11:25:39
