copies,from,trend,30days,7days,day,date
140.0,3.98,4.99,4.99,4.99,4.99,20/01/2023 17:37:32
,,,,,,
140.0,3.98,4.99,4.99,4.99,4.99,20/01/2023 19:06:58
140.0,3.98,4.99,4.99,4.99,4.99,20/01/2023 19:09:13
140.0,3.98,4.99,4.99,4.99,4.99,20/01/2023 20:25:01
140.0,3.98,4.99,4.99,4.99,4.99,20/01/2023 21:22:36
140.0,3.98,4.99,4.99,4.99,4.99,20/01/2023 21:57:18
166.0,3.44,5.77,5.67,5.67,5.77,21/01/2023 16:10:24
164.0,2.97,3.38,3.79,3.79,3.32,23/01/2023 11:06:40
164.0,2.74,3.38,3.79,3.79,3.32,23/01/2023 15:32:57
256.0,2.74,3.38,3.79,3.79,3.32,23/01/2023 17:18:51
256.0,2.94,3.38,3.79,3.79,3.32,23/01/2023 18:53:30
267.0,2.63,2.62,3.33,3.33,3.01,25/01/2023 17:08:37
267.0,2.63,2.62,3.33,3.33,3.01,25/01/2023 20:33:38
267.0,2.63,2.62,3.33,3.33,3.01,25/01/2023 20:35:50
267.0,2.63,2.62,3.33,3.33,3.01,25/01/2023 20:38:18
267.0,2.63,2.62,3.33,3.33,3.01,25/01/2023 20:45:47
