copies,from,trend,30days,7days,day,date
145.0,2.44,1.69,2.04,2.04,1.69,20/01/2023 17:37:20
,,,,,,
145.0,2.44,1.69,2.04,2.04,1.69,20/01/2023 19:06:47
145.0,2.44,1.69,2.04,2.04,1.69,20/01/2023 19:09:02
145.0,2.44,1.69,2.04,2.04,1.69,20/01/2023 20:24:50
145.0,2.44,1.69,2.04,2.04,1.69,20/01/2023 21:22:25
145.0,2.44,1.69,2.04,2.04,1.69,20/01/2023 21:57:07
160.0,2.39,2.19,2.29,2.29,2.45,21/01/2023 16:10:12
160.0,2.37,2.4,2.35,2.35,2.39,23/01/2023 11:06:30
160.0,2.24,2.4,2.35,2.35,2.39,23/01/2023 15:32:46
268.0,2.24,2.4,2.35,2.35,2.39,23/01/2023 17:18:40
268.0,2.24,2.4,2.35,2.35,2.39,23/01/2023 18:53:18
288.0,2.19,2.38,2.33,2.33,2.18,25/01/2023 17:08:25
