copies,from,trend,30days,7days,day,date
161.0,5.92,5.99,5.99,5.99,5.99,20/01/2023 17:37:17
,,,,,,
161.0,5.92,5.99,5.99,5.99,5.99,20/01/2023 19:06:45
161.0,5.92,5.99,5.99,5.99,5.99,20/01/2023 19:08:59
161.0,5.92,5.99,5.99,5.99,5.99,20/01/2023 20:24:47
161.0,5.92,5.99,5.99,5.99,5.99,20/01/2023 21:22:23
161.0,5.92,5.99,5.99,5.99,5.99,20/01/2023 21:57:05
152.0,5.24,6.32,6.16,6.16,6.32,21/01/2023 16:10:04
144.0,5.43,5.45,5.59,5.59,5.47,23/01/2023 11:06:27
144.0,5.39,5.45,5.59,5.59,5.47,23/01/2023 15:32:43
257.0,5.39,5.45,5.59,5.59,5.47,23/01/2023 17:18:38
257.0,5.39,5.45,5.59,5.59,5.47,23/01/2023 18:53:16
277.0,5.19,5.46,5.61,5.61,5.78,25/01/2023 17:08:22
277.0,5.19,5.46,5.61,5.61,5.78,25/01/2023 20:33:24
277.0,5.19,5.46,5.61,5.61,5.78,25/01/2023 20:35:35
277.0,5.19,5.46,5.61,5.61,5.78,25/01/2023 20:38:04
277.0,5.19,5.46,5.61,5.61,5.78,25/01/2023 20:45:32
277.0,5.19,5.33,5.48,5.48,5.31,26/01/2023 11:15:02
277.0,5.19,5.33,5.48,5.48,5.31,26/01/2023 11:16:26
277.0,5.19,5.33,5.48,5.48,5.31,26/01/2023 11:25:44
