copies,from,trend,30days,7days,day,date
138.0,8.24,9.52,9.61,9.61,9.52,20/01/2023 17:37:35
,,,,,,
138.0,8.24,9.52,9.61,9.61,9.52,20/01/2023 19:07:01
138.0,8.24,9.52,9.61,9.61,9.52,20/01/2023 19:09:15
138.0,8.24,9.52,9.61,9.61,9.52,20/01/2023 20:25:04
138.0,8.22,9.52,9.61,9.61,9.52,20/01/2023 21:22:39
138.0,8.22,9.52,9.61,9.61,9.52,20/01/2023 21:57:21
148.0,8.13,8.51,9.19,9.19,8.4,21/01/2023 16:10:27
138.0,7.94,8.04,8.78,8.78,8.16,23/01/2023 11:06:43
138.0,7.74,8.04,8.78,8.78,8.16,23/01/2023 15:33:00
254.0,7.74,8.04,8.78,8.78,8.16,23/01/2023 17:18:54
254.0,7.72,8.04,8.78,8.78,8.16,23/01/2023 18:53:33
291.0,7.59,8.03,8.58,8.58,8.38,25/01/2023 17:08:39
