,name,price
0,Kayla's Command,0.02
1,Kayla's Reconstruction,0.04
2,Loran of the Third Path,2.00
3,Siege Veteran,0.09
4,Soul Partition,0.05
5,Tocasia's Welcome,0.60
6,Autonomous Assembler,0.02
7,Steel Seraph,0.19
8,"Drafna, Founder of Lat-Nam",0.02
9,"Hurkyl, Master Wizard",0.03
10,Hurkyl's Final Meditation,0.02
11,Skystrike Officer,0.05
12,Urza's Command,0.02
13,The Temporal Anchor,0.02
14,Terisian Mindbreaker,0.02
15,"Ashnod, Flesh Mechanist",0.02
16,Diabolic Intent,5.64
17,Fateful Handoff,0.02
18,Gix's Command,0.02
19,Gixian Puppeteer,0.02
20,Hostile Negotiations,0.06
21,Misery's Shadow,0.50
22,Painful Quandary,0.05
23,Razorlash Transmogrant,0.02
24,Transmogrant's Crown,0.02
25,Brotherhood's End,5.00
26,"Feldon, Ronom Excavator",0.02
27,Mechanized Warfare,0.04
28,Mishra's Command,0.02
29,Over the Top,0.02
30,Tyrant of Kher Ridges,0.02
31,Visions of Phyrexia,0.02
32,"Phyrexian Dragon Engine // Mishra, Lost to Phyrexia",0.99
33,Fade from History,0.02
34,Fauna Shaman,0.30
35,"Gwenna, Eyes of Gaea",0.10
36,Teething Wurmlet,0.05
37,Titania's Command,0.02
38,Perennial Behemoth,0.02
39,Simian Simulacrum,0.02
40,Deathbloom Ritualist,0.02
41,"Hajar, Loyal Bodyguard",0.05
42,"Harbin, Vanguard Aviator",0.02
43,Legions to Ashes,0.05
44,"Mishra, Tamer of Mak Fawa",0.02
45,Queen Kayla bin-Kroog,0.02
46,"Tawnos, the Toymaker",0.02
47,"Tocasia, Dig Site Mentor",0.02
48,"Urza, Prince of Kroog",0.03
49,"Liberator, Urza's Battlethopter",0.85
50,"The Mightstone and Weakstone // Urza, Planeswalker",1.25
51,The Stasis Coffin,0.02
52,The Stone Brain,0.19
53,Thran Spider,0.02
54,"Argoth, Sanctum of Nature // Titania, Gaea Incarnate",0.70
55,Battlefield Forge,0.10
56,Blast Zone,0.10
57,Brushland,0.49
58,Fortified Beachhead,0.09
59,Hall of Tagsin,0.02
60,Llanowar Wastes,0.24
61,Mishra's Foundry,0.05
62,Underground River,0.90
63,In the Trenches,0.40
64,"Myrel, Shield of Argive",8.50
65,Platoon Dispenser,0.35
66,Urza's Sylex,0.40
67,One with the Multiverse,1.48
68,"Teferi, Temporal Pilgrim",8.00
69,Arcane Proxy,2.49
70,Surge Engine,0.50
71,"Gix, Yawgmoth Praetor",9.95
72,Phyrexian Fleshgorger,8.00
73,Draconic Destiny,0.20
74,Skitterbeam Battalion,0.30
75,Awaken the Woods,10.70
76,"Titania, Voice of Gaea // Titania, Gaea Incarnate",7.49
77,Rootwire Amalgam,0.35
78,"Mishra, Claimed by Gix // Mishra, Lost to Phyrexia",9.99
79,"Saheeli, Filigree Master",0.99
80,Sarinth Greatwurm,0.50
81,"Urza, Lord Protector // Urza, Planeswalker",14.00
82,Bladecoil Serpent,0.15
83,Clay Champion,0.50
84,Cityscape Leveler,12.50
85,Portal to Phyrexia,12.95
